class;question
RES;Who is the author of Heroman is also the author of Karakuri Dji Ultimo ?
RES;Name the common sports played at Polytechnic University of Philippines San Juan and Islamic Azad University?
RES;What organization is the parent of Greenpeace Nordic?
RES;Of what all has David Ian Salter been an editor of?
NUM;How many 
RES;What is the place of birth of the Kira Plastinina and Sergey Ryazansky
RES;Name the river whose mouth mountain is Essex and river mouth is North Sea?
RES;What is the products of the BBC Multimedia and series of the The Last Resort (Doctor Who)
RES;Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?
NUM;In how many countries do the rivers start which end at the Caspian Sea?
RES;Who is the leader of the Kriminalpolizei and Ordnungspolizei?
RES;What award has been given to Roy Walker as well as Walt Disney?
NUM;Give the total number of places to which airlines go, who also go to Glasgow?
RES;What is the death place of the Marina Pankova and Viktor Ulyanich?
RES;Who was the PM under which William Deane served?
RES;Which leader of Trump Entertainment Resorts is a relative of Maryanne Barry?
RES;In which states can I find Truss bridges?
RES;Which awards have Puerto Ricons won?
RES;Where is the rival school of Somerset Berkeley Regional High school?
RES;What products are made by Tehran based companies?
NUM;Count number of people who follow a religion which has an important office in Gold Base ?
RES;In which areas can we find the networks owned by the govt of Mauritius?
RES;What is the profession of the William Luther Hill and also the office of the Richard Coke ?
RES;What's the religion of the winner of china election of 2008?
RES;What is the city nearest to the historic place whose architect is Joseph Dion?
RES;Who is the father of Edith Vonnegut and is also a writer?
BOOL;was Charlemagne canonized by antipope pachal 3?
NUM;How many basketball players studied in the Midland College?
RES;List all the collaborators of the artist which has collaborated with sanremo Music Festival ?
RES;Who was the president under whom, a governor participated in Shay's rebellion?
RES;Which actors have performed in plays performed in New York?
RES;Who is the editor of Hearth and Home ?
RES;List the books by the authors buried in the Convent of the Barefoot Trinitarians?
NUM;How many game series exist for iOS?
RES;Where does Manu cornet work?
RES;Which awards did the creator of A Barrel of Laughs, a Vale of Tears won ?
NUM;In how many different places were the people born who are members of National Museum of Racing and Hall of Fame?
BOOL;Was einstein a doctoral student of Alfred Kleiner?
RES;What is the source country of reg Lake ?
RES;Which hockey teams have had people playing as Defenceman?
RES;which president was served by Joseph Stiglitz?
RES;Name the tenant of Ever bank field which has also has player named Dan Shamash ?
RES;Who is the mfr. of the engine used in Ford Transit ?
RES;Where did the employees of American College of Surgeons study?
RES;Name the  people whose residence is Beverly Hills, California?
BOOL;Did Stan Lee create Jean Grey?
RES;The authors of Zhorstoke nebo was influenced by whom ?
RES;What product is made by Sony and Foxconn togather?
RES;Which city has radio stations which are Religious ?
RES;From which state do the White Plum Asangas come?
RES;Who operates the Ganz UV?
RES;What is the state of Umatilla language which is also the state of James K. Kelly ?
RES;Where has GARAGE recorded its singles?
NUM;How many players participated in the 2004-05 FC Barcelona season?
RES;Whose mam is Bertrada of Laon?
RES;Give me a list of all the people driving at pole positions in the Grand Prixes where Renault was a first team?
RES;Who is the developer of the software which distributes Batman: Arkham City Lockdown ?
RES;What are the non-fiction topics in the books whose authors is Terry Pratchett?
BOOL;Is WP 8.1 the OS on Lumia 830?
RES;Name a movie with actor as Momoko Kchi and music by Akira Ifukube?
RES;Which railway line goes through the stations which are a part of the North Caucasus railway?
RES;Which animal is the mascot of the 1502nd Infantry Brigade (Ready Reserve) and Galatasaray Handball Team ?
RES;Who was in missions of Gemini 8 and Apollo 11?
RES;Name the source Island of Bayou ?
RES;What location country of AH141 is also the nation of malaysia Junior hockey league ?
RES;Which college of the Luke List (golfer) is the alma mater of the Park Trammell ?
RES;Of the sports commonly played at Islamic Azad Uni, tehran, which one does Jon Speelman play?
NUM;How many artists are signed up with Celluloid Records?
RES;Henry McDaniel's trained horses have won which awards?
RES;What were the occupations of Marcus Floyd?
RES;With whom is the institution of David Charles affiliated?
NUM;From how many coutries do companies come, which are headquartered in the Klang Valley?
RES;What political party has governed both in Baraily,MP and Jowai?
RES;Who is the builder of the bridge owned by Tabriz ?
BOOL;Is the song Only the Good Die Young from The Stranger?
RES;Who are the golf players whose college is Arizona State Sun Devils?
BOOL;Did taylor swift do the theme song of The Farmer Wants a Wife?
NUM;How many local authorities manage mixed gender schools?
RES;What is the almamater of the successor of F. A. Little, Jr.? 
RES;List everything in which saxophone players have been casted.
RES;In which city is Corringham railway station located?
RES;What monument was unveiled in 1984 of fine arts of the Soviet Union ?
RES;Where did the wrestler trained by Ring of Honour get billed?
RES;Name the console whose successor is PlayStation 4 and predecessor is PlayStation 2?
RES;List the name of those who became famous for something garrisoned at Tennessee?
RES;Which school teams are there in schools of Arlington Heights, Illinois?
RES;Who is the person whose opponent's father is Newman Haynes Clanton?
RES;Who has official residences at Beverly Hills and Colts Neck Township ?
RES;What games are played in Protestant schools?
RES;Which river flows through both eastern and western washington?
RES;What company is the distributor of Bombay Sapphire?
BOOL;Did Trish Stratus train Christina Crawford?
RES;Which stockholder of yale Repertory Theatre was training center of William Anthony ?
RES;Name the team for which Hensley Meulens played, whihc was also the debut team od Steve Ontiveros ?
RES;Name the common institution of the Erica Frank and Douglass North?
RES;Name a office holder whose predecessor is Edward Douglass White and has son named Charles Phelps Taft II?
RES;List the ingredients of Kaszanka?
RES;List the language of Kunsten Museum of moder art Aalborg ?
BOOL;Is wizard rock inspired from Harry potter?
RES;What is the venerated in of the Abraham and religion of the Saima Chowdhury
RES;Who directed the haunted house and alice in wonderland?
RES; Name the city whose province is Metropolitan City of Venice and has leader as Luigi Brugnaro ?
RES;Who is the leader of Panki block ?
RES;To which persons is Ron Cyrus a relative?
NUM;How many services are there of the companies whose services is Web hosting service ?
BOOL;Is Neungin High school a buddhist school?
RES;Name the mascot of the military branch of William Harper.
RES;What musician is often associated with Tiffany Villarreal and wrote Same Song?
RES;Which location country of Ennejma Ezzahra is also the origin of Boga ?
RES;What is the state whose largest city is Denver?
RES;Who have been the manager of national team of Spain?
RES;For which common president did Jim Sasser and Mike McCurry work?
RES;What is the municipality of the Homestead Grays Bridge and Roberto Clemente Bridge?
RES;Who is a successor of Kingship whose parents were Julius Caesar?
NUM;How many organizations work for Environmentalism?
BOOL;Was Zambezi originate in the north western province of zambia?
RES;Which US state has Dorchester Bay and the Joseph Story?
RES;Who is the predecessor of Voere ?
RES;Which city is Black Grape Global located ?
RES;Which movies did Mark Steven edit?
RES;Who is the common distributer of Bombay Sapphire and Rev ?
